party_id,party_name,index,ect_party_id,is_active
225,พรรคสหประชารัฐ,1,225,false
226,พรรคพลังสังคมใหม่,1,226,true
227,พรรคไทยสร้างไทย,1,227,true
228,พรรคมิติใหม่,1,228,true
229,พรรครวมไทยสร้างชาติ,1,229,true
230,พรรคมวลชนสยาม,1,230,false
231,พรรคไทยสมาร์ท,2,230,true
232,พรรคเพื่อประชาชน,1,231,true
233,พรรคพลังสยาม,1,232,true
234,พรรคไทยรักกัน,1,233,false
235,พรรคไทยภักดี,1,234,true
236,พรรคแนวทางใหม่,1,235,true
237,พรรคเสมอภาค,1,236,true
238,พรรคไทยชนะ,1,237,true
239,พรรคเพื่อไทรวมพลัง,1,238,true
240,พรรคไทยสร้างสรรค์,1,239,false
241,พรรคเทิดไท,1,240,false
242,พรรคราษฎร์วิถี,2,240,true
243,พรรคไทยเป็นหนึ่ง,1,241,true
244,พรรคท้องที่ไทย,1,242,true
245,พรรคเปลี่ยนอนาคต,1,243,true
246,พรรคใหม่,1,244,true
247,พรรคแรงงานสร้างชาติ,1,245,true
248,พรรคไทยก้าวหน้า,1,246,true
249,พรรคพลัง,1,247,true
250,พรรคสยามพล,1,248,true
251,พรรคชาติรุ่งเรือง,1,249,true
252,พรรครวมใจไทย,1,250,true
253,พรรคสัมมาธิปไตย,1,251,true
254,พรรคเปลี่ยน,1,252,true
255,พรรครักแผ่นดิน,1,108,false
256,พรรคเพื่อคนไทย,2,183,false
