doc_id,title,first_name,last_name,position,document_submitted_type,submitted_date,additional_submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,pdf_disclosure_location_url,nacc_id
926,นาย,กิตติ,สมทรัพย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/กิตติ_สมทรัพย์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,797
927,นางสาว,กัลยา,รุ่งวิจิตรชัย,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/กัลยา_รุ่งวิจิตรชัย_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,798
928,นาง,อนุรักษ์,บุญศล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/อนุรักษ์_บุญศล_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,799
929,นาย,สุรสิทธิ์,วงศ์วิทยานันท์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุรสิทธิ์_วงศ์วิทยานันท์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,800
930,นาย,เทอดพงษ์,ไชยนันทน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เทอดพงษ์_ไชยนันทน์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,801
931,นาย,สรชัด,สุจิตต์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สรชัด_สุจิตต์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,802
932,นาย,ศักดา,คงเพชร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ศักดา_คงเพชร_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,803
933,นาย,อภิชาติ,ตีรสวัสดิชัย,สมาชิกสภาผู้แทนราษฎร (ส.ส.) พรรคเพื่อไทย,กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/อภิชาติ_ตีรสวัสดิชัย_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_พรรคเพื่อไทย_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,804
934,นาย,นิรันดร์,นาเมืองรักษ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/นิรันดร์_นาเมืองรักษ์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,805
935,นาย,ไตรรงค์,ติธรรม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ไตรรงค์_ติธรรม_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,806
