query_name,is_have_data,company_id,company_name_th,company_name_en,submit_obj_big_type,obj_tname,cap_amt,company_value
สม จาตุศรีพิทักษ์,True,0107545000012,ซีคอน ดีเวลลอปเมนท์ จำกัด (มหาชน),SEACON DEVELOPMENT PUBLIC COMPANY LIMITED.,L,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,574000000,5764305782
สม จาตุศรีพิทักษ์,True,0105533101623,ซีคอน ดีเวลลอปเมนท์ จำกัด,"SEACON DEVALOPMENT CO., LTD.",G,การขายปลีกสินค้าอื่นๆในร้านค้าทั่วไป,574000000,0
สม จาตุศรีพิทักษ์,True,0105537075244,สยามซิตี้เรียลเอสเตท เซอร์วิสส์ จำกัด,"SIAM CITY REAL ESTATE SERVICES CO., LTD.",M,-,10000000,0
สม จาตุศรีพิทักษ์,True,0105490000120,เทเวศประกันภัย จำกัด,TEH DEVES INSURANCE COMPANY LIMITED,K,-,40000000,0
สม จาตุศรีพิทักษ์,True,0835529000544,โรงแรมพระพิทักษ์ จำกัด,"HOTEL PRAPITAKS CO., LTD.",I,โรงแรม รีสอร์ทและห้องชุด,3125000,0
สม จาตุศรีพิทักษ์,True,0105535114358,โพลาร์ อินเตอร์เนชั่นแนล จำกัด,"POLAR INTERNATIONAL CO., LTD.",C,การผลิตน้ำดื่มบริสุทธิ์และน้ำแร่บรรจุขวด,17711750,0
สม จาตุศรีพิทักษ์,True,0105531011287,เชียงแสน ฟาร์ม จำกัด,"CHIENGSAN FARM CO., LTD.",R,-,10000000,0
สม จาตุศรีพิทักษ์,True,0105484000113,ธนาคารนครหลวงไทย จำกัด,,K,-,6010000000,0
สม จาตุศรีพิทักษ์,True,0105532115477,ไทยเวียต อินเวกซิม จำกัด,,M,กิจกรรมให้คำปรึกษาด้านการบริหารจัดการอื่นๆซึ่งมิได้จัด ประเภทไว้ในที่อื่น,10000000,0
สม จาตุศรีพิทักษ์,True,0105524007946,ผาแดง อินดัสทรี จำกัด,PADAENG INDUSTRY COMPANY LIMITED,B,-,1040000000,0
สม จาตุศรีพิทักษ์,True,0105535024723,ระบบขนส่งมวลชนกรุงเทพ จำกัด,"BANGKOK TRANSIT SYSTEM CORPORATION CO., LTD.",H,-,2916500000,0
